"","nonZero_light"
"1","IGKV3OR2-268"
"2","IGKV4-1"
"3","IGKV5-2"
"4","IGKV7-3"
"5","IGKV2-4"
"6","IGKV1-5"
"7","IGKV1-6"
"8","IGKV3-7"
"9","IGKV1-8"
"10","IGKV1-9"
"11","IGKV3-11"
"12","IGKV1-12"
"13","IGKV1-13"
"14","IGKV3-15"
"15","IGKV1-16"
"16","IGKV1-17"
"17","IGKV2-18"
"18","IGKV3-20"
"19","IGKV6-21"
"20","IGKV2-24"
"21","IGKV2-26"
"22","IGKV1-27"
"23","IGKV2-28"
"24","IGKV2-29"
"25","IGKV2-30"
"26","IGKV1-33"
"27","IGKV1-37"
"28","IGKV1-39"
"29","IGKV2-40"
"30","IGKV2D-40"
"31","IGKV1D-39"
"32","IGKV1D-37"
"33","IGKV1D-33"
"34","IGKV2D-30"
"35","IGKV2D-29"
"36","IGKV2D-28"
"37","IGKV1D-27"
"38","IGKV2D-26"
"39","IGKV2D-24"
"40","IGKV1D-22"
"41","IGKV6D-21"
"42","IGKV3D-20"
"43","IGKV2D-18"
"44","IGKV6D-41"
"45","IGKV1D-17"
"46","IGKV1D-16"
"47","IGKV3D-15"
"48","IGKV1D-13"
"49","IGKV1D-12"
"50","IGKV3D-11"
"51","IGKV1D-42"
"52","IGKV1D-43"
"53","IGKV1D-8"
"54","IGKV3D-7"
"55","IGKV1OR2-118"
"56","IGKV2OR2-1"
"57","IGKV1OR2-6"
"58","IGKV1OR2-108"
"59","IGLV8OR8-1"
"60","IGKV1OR-2"
"61","IGKV1OR-3"
"62","IGKV1OR10-1"
"63","IGKV2OR22-4"
"64","IGKV2OR22-3"
"65","IGLVI-70"
"66","IGLV4-69"
"67","IGLV10-54"
"68","IGLVIV-66-1"
"69","IGLVIV-64"
"70","IGLV8-61"
"71","IGLV4-60"
"72","IGLV6-57"
"73","IGLVI-56"
"74","IGLV11-55"
"75","IGLV5-52"
"76","IGLV1-51"
"77","IGLV1-50"
"78","IGLV9-49"
"79","IGLV5-48"
"80","IGLV1-47"
"81","IGLV7-46"
"82","IGLV5-45"
"83","IGLV1-44"
"84","IGLV7-43"
"85","IGLV1-41"
"86","IGLV1-40"
"87","IGLV5-37"
"88","IGLV1-36"
"89","IGLV2-34"
"90","IGLV2-33"
"91","IGLV3-32"
"92","IGLV2-28"
"93","IGLV3-27"
"94","IGLV3-26"
"95","IGLV3-25"
"96","IGLV2-23"
"97","IGLV3-22"
"98","IGLV3-21"
"99","IGLV3-19"
"100","IGLV2-18"
"101","IGLV3-16"
"102","IGLV2-14"
"103","IGLV3-12"
"104","IGLV2-11"
"105","IGLV3-10"
"106","IGLV3-9"
"107","IGLV2-8"
"108","IGLV3-6"
"109","IGLV2-5"
"110","IGLV3-4"
"111","IGLV4-3"
"112","IGLV3-1"
