"gene","beta","stderr","t","p","celltype","padj","label_color","leadingEdgeIn"
"ISG15",-0.290844331246439,0.0547508447270205,-5.31214326822802,4.79552333377995e-07,"Myeloid",0.00213640564519897,"grey",""
"SDF4",0.0173810569032437,0.0573103392510775,0.303279602430846,0.762180967615864,"Myeloid",1,"grey",""
"UBE2J2",-0.197070729742696,0.0567769413208451,-3.47096418296038,0.000712538448119585,"Myeloid",1,"grey",""
"INTS11",-0.201290432099601,0.0522124829543431,-3.85521662081496,0.00018399120676187,"Myeloid",0.81968082612413,"grey",""
"AURKAIP1",-0.0268236534940214,0.040354949685172,-0.664693022870437,0.507471260353671,"Myeloid",1,"grey",""
"CCNL2",-0.219966416131397,0.0506432101376836,-4.34345325924985,2.87097179033574e-05,"Myeloid",0.127901793259457,"grey",""
"MRPL20",-0.104486044452878,0.0498358051099381,-2.09660592865673,0.038044426898858,"Myeloid",1,"grey",""
"SSU72",-0.0691527016464872,0.0437991122154547,-1.57886080672855,0.116895288051164,"Myeloid",1,"grey",""
"CDK11A",-0.350464983163905,0.0540592283111533,-6.48298161317996,1.88351929304516e-09,"Myeloid",8.39107845051618e-06,"grey",""
"NADK",-0.248044750963751,0.05449614469665,-4.55160181228378,1.24461186980814e-05,"Myeloid",0.0554474587999528,"grey",""
"GNB1",-0.0113746937880384,0.0432590211826269,-0.262943854878681,0.793026758591484,"Myeloid",1,"grey",""
"FAAP20",-0.22672217460387,0.0550954756782788,-4.11507790454116,6.97281435697892e-05,"Myeloid",0.310638879603411,"grey",""
"RER1",-0.0104375919281123,0.0532168986721122,-0.196133036470651,0.844824539352233,"Myeloid",1,"grey",""
"TNFRSF14",-0.0670074717079959,0.0450676117031313,-1.48682100461383,0.13958015400911,"Myeloid",1,"grey",""
"KCNAB2",0.0894610515606115,0.0509260992560753,1.75668376073275,0.0814204645052553,"Myeloid",1,"grey",""
"RPL22",-0.130046841460709,0.024721633062096,-5.26044703980743,6.04016607946602e-07,"Myeloid",0.00269089398840211,"grey",""
"CAMTA1",-0.128507652736797,0.0540404418567385,-2.37799041461339,0.0189224928440724,"Myeloid",1,"grey",""
"VAMP3",-0.109313965110731,0.0558643972046747,-1.95677337589859,0.0526034836436109,"Myeloid",1,"grey",""
"PARK7",-0.175059597011416,0.0516972855913201,-3.38624349439361,0.000947556063612055,"Myeloid",1,"grey",""
"RERE",-0.436618283607301,0.0554780878690093,-7.87010332148092,1.45055664481523e-12,"Myeloid",6.46222985265185e-09,"grey",""
"ENO1",0.094444620301031,0.034272165852376,2.75572371783686,0.00673248101420008,"Myeloid",1,"grey",""
"CLSTN1",-0.209814717621193,0.0591690299891818,-3.5460226010052,0.000551236761286249,"Myeloid",1,"grey",""
"CTNNBIP1",-0.126336886517321,0.057623467261776,-2.19245547900456,0.0301982520187912,"Myeloid",1,"grey",""
"LZIC",-0.20981331643968,0.0630265030772467,-3.32896965872481,0.00114569115665577,"Myeloid",1,"grey",""
"KIF1B",0.0292807667264308,0.0547387303950542,0.534918631015169,0.593656405856192,"Myeloid",1,"grey",""
"PGD",0.104450028125162,0.0528402015205346,1.9767151736651,0.0502752401232821,"Myeloid",1,"grey",""
"TARDBP",-0.199873223740332,0.0550921311514329,-3.62798133894905,0.000414685804205995,"Myeloid",1,"grey",""
"SRM",-0.00169982776203589,0.0515664754997365,-0.0329638150671085,0.973756021343212,"Myeloid",1,"grey",""
"AGTRAP",-0.34080090475417,0.0572553629815728,-5.95229664099509,2.4876799243174e-08,"Myeloid",0.00011082614062834,"grey",""
"MTHFR",-0.14147364733439,0.0465271571341582,-3.04066820430183,0.00287630729166288,"Myeloid",1,"grey",""
"KIAA2013",-0.0823487833790734,0.055142078583215,-1.49339280445877,0.137854284671795,"Myeloid",1,"grey",""
"PLOD1",0.146583011134142,0.0547856036368117,2.6755753592838,0.00845931164027899,"Myeloid",1,"maroon","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION"
"MIIP",-0.195208199037409,0.0492946042351398,-3.96003177358415,0.000125046780598278,"Myeloid",0.557083407565328,"grey",""
"TNFRSF1B",-0.368198636281033,0.0422027689545401,-8.7245137085116,1.41078291655337e-14,"Myeloid",6.28503789324526e-11,"grey",""
"VPS13D",-0.214530123347724,0.0558123545313432,-3.84377482636479,0.000191831423642877,"Myeloid",0.854608992329016,"grey",""
"DHRS3",0.230811123114695,0.0572005675387533,4.03511945853196,9.44158312401339e-05,"Myeloid",0.420622528174796,"grey",""
"PRDM2",-0.209999330243646,0.0611141667113399,-3.43618086515905,0.000801485648220182,"Myeloid",1,"grey",""
"TMEM51",0.188554020752003,0.0511323596161897,3.68756736765777,0.000336211373819253,"Myeloid",1,"grey",""
