"","corr","p"
"CD9",0.734245568425338,0
"GPNMB",0.713406003143911,0
"CTSD",0.691444522702498,0
"CTSB",0.687389335519039,0
"FABP5",0.675612827556466,0
"APOC1",0.662225557541067,0
"APOE",0.661438167307553,0
"CD81",0.644026836187554,0
"TREM2",0.634395530129292,0
"CD63",0.611819092797578,0
"A2M",0.580420472441384,0
"RAB13",0.576272651461126,0
"CD163",0.574413944824975,0
"ACP5",0.572826798144883,0
"DAB2",0.572076367009644,0
"GSN",0.571084863323735,0
"ALCAM",0.567727538722633,0
"PLD3",0.56569989045229,0
"VSIG4",0.557741169007973,0
"HEXB",0.552709650845717,0
"SPP1",0.54601051043522,0
"MSR1",0.545747226074038,0
"ATP6V1F",0.535470911883038,0
"OLR1",0.533523467958423,0
"TIMP2",0.531193217931211,0
"FPR3",0.52871531442376,0
"CYP27A1",0.527835485743709,0
"CAPG",0.527408960307403,0
"CD99",0.523219772185905,0
"VIM",0.516366265608708,0
"LIPA",0.511721314093263,0
"SLC1A3",0.508349911506277,0
"LGMN",0.505536585929113,0
"CD84",0.500406884415987,0
"SLCO2B1",0.499593717871964,0
"PTMS",0.498476616070116,0
"GRN",0.495946312640771,0
"NPC2",0.492177247196887,0
"VEGFB",0.489129437191484,0
"FN1",0.487704161565292,0
"HEXA",0.483306208228371,0
"CPM",0.483021957914833,0
"ARHGAP18",0.480675119703617,0
"LHFPL2",0.477466190870836,0
"VAT1",0.474062439899734,0
"PLTP",0.470284226321076,0
"LPL",0.468555970706071,0
"ADAM9",0.468274237215621,0
"CREG1",0.468246047096716,0
"ENG",0.463739188363279,0
"C1QC",0.459251316165592,0
"GPX4",0.454253785768038,0
"GLUL",0.452446812909138,0
"RNASE1",0.443041647587315,0
"SIRPA",0.44070592161844,0
"NRP2",0.43973850084523,0
"LITAF",0.438406750235049,0
"TUBA1C",0.437830791217648,0
"C15orf48",0.437095544126378,0
"SDCBP",0.435879098724078,0
"ALOX5AP",0.434651973182872,0
"SGK1",0.433650503155606,0
"ATP6AP1",0.433096355318242,0
"PLIN2",0.432064237875586,0
"PLXDC2",0.430293875332141,0
"IL18",0.430269416149739,0
"EMP1",0.42648521319265,0
