"","corr","p"
"FCGR2B",0.470833013857202,0
"HLA-DMB",0.453642785577937,0
"ALOX5AP",0.451896597135929,0
"FCER1A",0.441789145932693,6.9762069192784e-321
"HLA-DQB1",0.439093489380901,1.47065625572879e-316
"HLA-DQA1",0.439054773105961,1.6956259843556e-316
"RPL13",0.436929997511089,4.07080155708049e-313
"HLA-DMA",0.426005140616034,4.10366789253929e-296
"CAPG",0.424158931419555,2.66153390808465e-293
"RPS3A",0.415649023810226,1.44966192404325e-280
"ADAM28",0.410874897494949,1.4010172185957e-273
"RNASE6",0.407633794366825,6.6693043141872e-269
"IL18",0.402447697727615,1.59035528739885e-261
"HLA-DPB1",0.40002725738976,3.98009866092475e-258
"TPT1",0.396159494735564,9.37230511744491e-253
"RPS23",0.389264576954862,2.35286443691867e-243
"RPL3",0.388271497252035,5.09318486634878e-242
"RPS18",0.385746184094823,1.20786387898693e-238
"AKR1B1",0.382292419084432,4.46624220658382e-234
"A2M",0.379758374354575,9.25672700151551e-231
"RPLP1",0.377654663136627,4.98203660647868e-228
"PEBP1",0.374661636291803,3.53260732079517e-224
"JAML",0.374320130305852,9.65782929248654e-224
"IL13RA1",0.373664922296138,6.62843582710848e-223
"RPL5",0.372304900696442,3.56144397603606e-221
"CD1C",0.366772275534136,3.19682615295764e-214
"RPS4X",0.364886815391672,6.96817603840917e-212
"VSIG4",0.364581564597576,1.66042687446404e-211
"SNHG29",0.362323163105898,9.94110211480695e-209
"RPL37",0.360772640793894,7.78338927769564e-207
"NUPR1",0.359956085973753,7.6601270743968e-206
"CD59",0.359152695791387,7.21853114084284e-205
"CD74",0.355628296247723,1.25612094602273e-200
"RPS8",0.353698463663745,2.50159609791961e-198
"RPL32",0.353260829503104,8.26753712285394e-198
"RPS21",0.352550190145813,5.73642485407949e-197
"ALDH2",0.352250543293688,1.29633394811319e-196
"BASP1",0.350042218229474,5.13207203606811e-194
"SERPINF1",0.346125718074455,1.84477567655243e-189
"CD1E",0.344327690599804,2.16570537614609e-187
"RPS6",0.34383709281409,7.90570314940237e-187
"HEXA",0.342756682920921,1.35759380164325e-185
"CLEC10A",0.340533946461521,4.5474589953506e-183
"RPS28",0.337424949412428,1.42850165409143e-179
"RPL37A",0.337218212527739,2.43219243212526e-179
"RPS27A",0.336565876997111,1.30046528181629e-178
"CIITA",0.333310814871785,5.25867828979365e-175
"APOE",0.332758333420889,2.13162890816005e-174
"RPS15A",0.332555431696418,3.56144841513413e-174
"RPL26",0.330840623253157,2.68421668882185e-172
"RPS24",0.328370924313264,1.29183711267482e-169
"SPINT2",0.328358394494005,1.33276355164332e-169
"MRC1",0.323292994214601,3.53527132245156e-164
"APOC1",0.320319221390158,4.83287256881766e-161
"RPL7A",0.319937434588535,1.21399538727e-160
"NDRG2",0.318161508445732,8.65453611441293e-159
"RPL22",0.31775391647812,2.29483616895437e-158
"RPL17",0.316891862931596,1.79590522886604e-157
"BHLHE41",0.315165187980631,1.08419515132547e-155
"RPS3",0.314983313597435,1.66723005206545e-155
"VEGFB",0.314901416634082,2.02351880678853e-155
"GAS5",0.313184293460545,1.15755787306322e-153
"RPL34",0.311832152731216,2.74926621080956e-152
"HLA-DRB1",0.311325991861392,8.96046715601609e-152
"RPL11",0.306103893462424,1.53954780147033e-146
"RPL12",0.306042674024156,1.77064506122648e-146
"RPS14",0.305520639750835,5.82732905556829e-146
"RPS2",0.303546794587305,5.1518918943475e-144
"NPM1",0.30124960160984,9.08423560725368e-142
"RPS12",0.300884655330543,2.05718223225292e-141
"RPL30",0.30046725190937,5.23180588909169e-141
"RPL9",0.300219433881882,9.09939033968686e-141
"YWHAZ",-0.300908720503207,1.94930746504008e-141
"RNF213",-0.301372794053164,6.89195608907817e-142
"CALM1",-0.301430348527036,6.05737805756543e-142
"HSPA1A",-0.301496026616505,5.22755776287962e-142
"EVL",-0.301540100548722,4.73533986945339e-142
"CARD16",-0.301554909509243,4.58056373301453e-142
"JUNB",-0.302566882107651,4.70630183607548e-143
"DRAM1",-0.302864009383682,2.40861591731709e-143
"GNB2",-0.30317707661178,1.18816954024152e-143
"CDKN1C",-0.303303178169091,8.93630395222279e-144
"SEPTIN9",-0.303387685936661,7.38263371928226e-144
"EHBP1L1",-0.303406177165095,7.08040329923049e-144
"CASP5",-0.303458287842925,6.29350279919184e-144
"RASGRP2",-0.303790378980069,2.96877037774195e-144
"SLC7A7",-0.303834585109215,2.68600585106765e-144
"MX1",-0.305405768377859,7.57120354262156e-146
"SERPINB9",-0.305861966192077,2.67506259916218e-146
"RNH1",-0.305888828527474,2.51595837349752e-146
"CDC42EP2",-0.306508004574185,6.1106993527096e-147
"IL4I1",-0.307928974010011,2.34386002243992e-148
"SCIMP",-0.308470631299985,6.73019977606068e-149
"MYD88",-0.308985110834965,2.05234097589952e-149
"YBX1",-0.309737933991071,3.59462696638621e-150
"AQP9",-0.31050625523671,6.04207741401292e-151
"PSAP",-0.310940581812826,2.19967108610691e-151
"HSPA8",-0.311103484749494,1.5051324061864e-151
"UBE2L6",-0.311511775514633,5.80914600437888e-152
"CCT5",-0.311565513462468,5.12442017300554e-152
"NOP10",-0.311802585409097,2.94590042120217e-152
"CCL3",-0.312242647552321,1.05278793102526e-152
"CYBA",-0.31300943516358,1.74522365239613e-153
"ST3GAL5",-0.313298154799407,8.85869581827316e-154
"GIMAP4",-0.313604281723371,4.31294149111286e-154
"LFNG",-0.313625188964135,4.10592456754928e-154
"ARHGDIB",-0.313727886385693,3.22442044481216e-154
"POMP",-0.314074108007245,1.42658228974927e-154
"PGAM1",-0.31426833842468,9.02418327677823e-155
"ARHGDIA",-0.316112344172111,1.14740513551197e-156
"LGALS9",-0.316978905399858,1.45947632940997e-157
"DMXL2",-0.319472049022368,3.72415565747152e-160
"EPSTI1",-0.319800293642002,1.68951411658156e-160
"MYL12B",-0.320467581461332,3.3775782526794e-161
"METRNL",-0.321160503229554,6.3197417902195e-162
"KYNU",-0.321428012673705,3.30497110537621e-162
"CD53",-0.321839803389785,1.21682837101644e-162
"HLA-C",-0.322018611078929,7.88119763031281e-163
"RHOG",-0.32250608755668,2.40804267225658e-163
"HES1",-0.322529841485848,2.27273142278865e-163
"KLF6",-0.323329402169847,3.23452525273917e-164
"PSMB8",-0.324417816473134,2.25438118596978e-165
"DYNLT1",-0.324438004971634,2.14548491805104e-165
"WSB1",-0.325037109516683,4.92827074768011e-166
"SECTM1",-0.325105796037023,4.16256080177355e-166
"THEMIS2",-0.325117204128774,4.04742450075374e-166
"RNF149",-0.326815750908974,6.13110718986383e-168
"ACTG1",-0.326855742096039,5.55335554519675e-168
"JUND",-0.327733281853533,6.30547766229202e-169
"ZBTB7A",-0.328410125972544,1.17172231668309e-169
"PTGIR",-0.329195222989984,1.65459897017871e-170
"SERF2",-0.329893873657401,2.88436606965817e-171
"TNFSF10",-0.331200439125836,1.08625090300697e-172
"MIDN",-0.331527767723632,4.76490836125166e-173
"SLC31A2",-0.332051687265792,1.27152820432947e-173
"IRF1",-0.332487977821594,4.22373208307817e-174
"KLF3",-0.332948145731173,1.31832841415499e-174
"MOB1A",-0.334764671454914,1.30419427018722e-176
"OAS2",-0.335846196857941,8.22843381129832e-178
"PLAGL2",-0.336103467839053,4.25740107186825e-178
"MBD2",-0.336909858308907,5.37509438614036e-179
"LCP2",-0.337351469943065,1.72602045098978e-179
"CFD",-0.337376961693153,1.61637993214497e-179
"ATP6V0C",-0.337436814838951,1.38551314507369e-179
"MAPKAPK3",-0.339926047065249,2.21171531394646e-182
"IRF7",-0.340158389718445,1.20879167899343e-182
"BLVRA",-0.34067084934351,3.18307991728016e-183
"TCIRG1",-0.341997865787996,9.93360347519075e-185
"S100A8",-0.342664043262525,1.73149608077671e-185
"WDR1",-0.343273237371269,3.49139616018084e-186
"RASSF5",-0.343699715265241,1.13560107323266e-186
"FPR2",-0.344410673060278,1.73932781830905e-187
"CD83",-0.344974448400949,3.91480061362398e-188
"MARCKS",-0.346597401965831,5.25698391773365e-190
"RSAD2",-0.3469630743445,1.98342773629617e-190
"ABI3",-0.347060174176416,1.53078258945767e-190
"NR4A1",-0.348831713638005,1.33449688309833e-192
"ATP1B3",-0.349554861181528,1.90872377317778e-193
"GNG5",-0.349663425732731,1.42480795651811e-193
"IL1RN",-0.351476342165595,1.06111289036289e-195
"S100A4",-0.352603062958455,4.96734678572931e-197
"CD79B",-0.352744398451562,3.38026199770379e-197
"FPR1",-0.353947983761298,1.264287508333e-198
"SH3BP2",-0.35485330168024,1.05751324827185e-199
"ARPC5",-0.355384217909472,2.45874272013262e-200
"PSMB9",-0.355907055750457,5.82893663168536e-201
"CLIC1",-0.356556619494579,9.71177331868864e-202
"UCP2",-0.35688659856196,3.9014433492248e-202
"EHD1",-0.357642654024508,4.80785210864817e-203
"PSMA4",-0.358083784333393,1.41343444328002e-203
"ZFP36",-0.3582431141731,9.07891876577887e-204
"OAS3",-0.359155962589861,7.15308078965896e-205
"NEAT1",-0.359176912259762,6.74721371281189e-205
"TYROBP",-0.361045399765477,3.6207455705616e-207
"CD47",-0.361152861477387,2.677693860671e-207
"CFP",-0.361709303162649,5.60318675863847e-208
"S100A9",-0.364078953903577,6.92210399457134e-211
"NINJ1",-0.364467917386224,2.29357025940888e-211
"RHOA",-0.366148332433188,1.90675384712229e-213
"IER5",-0.366174016677899,1.77175066966482e-213
"MX2",-0.367050745073527,1.43885570276324e-214
"ZEB2",-0.367633340925202,2.70119317030676e-215
"H3F3B",-0.367723958880272,2.08173241841195e-215
"HK3",-0.368298003324145,3.98949339369088e-216
"SLC2A6",-0.371106491908161,1.17311447530822e-219
"HLA-B",-0.371221854414258,8.38534802415681e-220
"CTSS",-0.371562816449398,3.10593750620397e-220
"RHOC",-0.371667586427209,2.28849701038707e-220
"CORO1A",-0.374252256056836,1.17930862600011e-223
"C3AR1",-0.375740213037528,1.46263241319121e-225
"H3F3A",-0.376867176271614,5.18198371936107e-227
"CCL4",-0.377097375569531,2.61499622573963e-227
"IFIT2",-0.379148881819397,5.75116964443964e-230
"HSP90AA1",-0.380215586361558,2.34555736030224e-231
"IFIT1",-0.381695179896288,2.71805198278127e-233
"OASL",-0.381738870147167,2.38197866215638e-233
"CSK",-0.382438768096078,2.86748342722104e-234
"ICAM2",-0.385135141071968,7.83795587936646e-238
"RXRA",-0.385929647337223,6.88373353346923e-239
"ANXA5",-0.387257350662044,1.16399023747331e-240
"SCARB2",-0.387274603801796,1.1037487731078e-240
"PILRA",-0.387340683517415,9.00459454661881e-241
"EMP3",-0.387499610316211,5.5176901332843e-241
"PSME2",-0.388264935638118,5.19753563866243e-242
"MYO1G",-0.388599158067366,1.8488218138815e-242
"RASGEF1B",-0.388848839397468,8.53494293334248e-243
"STX11",-0.388983249879923,5.62815369841469e-243
"MSN",-0.389009303128397,5.19163730247114e-243
"SPI1",-0.391066510536214,8.64415011099706e-246
"CAMK1",-0.392955766423299,2.33037104164321e-248
"PTP4A2",-0.394714010356118,9.14366722341121e-251
"CALML4",-0.398019482432808,2.4972200534339e-255
"PTPRC",-0.399253127897894,4.79551129569088e-257
"PIK3AP1",-0.400367036488788,1.33210301515731e-258
"DUSP1",-0.402182423502013,3.76126346264639e-261
"RRAS",-0.403862416683225,1.59228476199099e-263
"FFAR2",-0.404360977151233,3.12656012349577e-264
"SMIM25",-0.405283587278459,1.52621931213971e-265
"OAS1",-0.408869518656615,1.11370890029579e-270
"CD52",-0.408904139913815,9.92815351840274e-271
"FKBP1A",-0.409190199658451,3.83985248443478e-271
"IFI35",-0.409264522867257,2.99957588705312e-271
"PGK1",-0.409594879935265,9.99991655531218e-272
"CMTM6",-0.410503058351003,4.8498502570524e-273
"S100A11",-0.413891083837556,5.57967289548149e-278
"B2M",-0.417329282818645,4.73863470755141e-283
"RAB10",-0.417428890441802,3.3717583938987e-283
"IFITM2",-0.418243520722409,2.07603499964042e-284
"IFI6",-0.421623891788935,1.81008334112613e-289
"CFL1",-0.421755151149137,1.14832200525313e-289
"ADGRE5",-0.424773628331955,3.09627305076058e-294
"ACTR3",-0.424787250495371,2.95197418344087e-294
"DRAP1",-0.426351338938901,1.21316011778093e-296
"ADA",-0.427376380205208,3.26013988467335e-298
"HMOX1",-0.427567776811765,1.65711753130506e-298
"FLNA",-0.428502606586237,6.04252209171342e-300
"PFN1",-0.430523694946843,4.53335577095105e-303
"ARPC2",-0.430613754152337,3.28611348708012e-303
"SAMSN1",-0.430625282202759,3.15349677042574e-303
"LILRA1",-0.430640867594829,2.98266585948303e-303
"BCL2A1",-0.431175763206829,4.40250973320217e-304
"GPBAR1",-0.432373701706007,5.98933798353889e-306
"NFKBIZ",-0.434225299407218,7.54776576308065e-309
"PLEK",-0.435041155705455,3.93053611671588e-310
"ITGAL",-0.437648821653305,2.9430030380916e-314
"FTH1",-0.438776468977632,4.71482834013257e-316
"OAZ1",-0.439468786089465,3.69702010611446e-317
"HCK",-0.442358491017496,8.39911597930119e-322
"VAMP5",-0.442627953074229,3.16202013338398e-322
"HSBP1",-0.447227758470191,0
"POU2F2",-0.448440976466911,0
"RHOB",-0.450625848218476,0
"ADGRE2",-0.452315563141649,0
"RAC2",-0.454809909628301,0
"RAP1B",-0.462028759667881,0
"HLA-E",-0.46341212049255,0
"TPM3",-0.463536046571102,0
"FCER1G",-0.466832827390871,0
"MTSS1",-0.466888811942422,0
"MYL6",-0.468033937596744,0
"ABRACL",-0.469083311887219,0
"SAT1",-0.472268075597493,0
"COTL1",-0.474723504711173,0
"DOK2",-0.477076518461283,0
"EFHD2",-0.477492373595272,0
"KLF2",-0.477911997661864,0
"IFIT3",-0.479695127759076,0
"CD300E",-0.482395410293408,0
"PTPN6",-0.484745824774882,0
"LY6E",-0.487740456562998,0
"GCH1",-0.488055508498137,0
"CEBPB",-0.490301196947193,0
"SOD2",-0.491324518271831,0
"SRGN",-0.491364608592406,0
"LST1",-0.491761098153681,0
"LCP1",-0.492041803090125,0
"DUSP6",-0.4921282694929,0
"GBP2",-0.49334893980818,0
"STXBP2",-0.493914429237136,0
"AIF1",-0.494586340999728,0
"MT2A",-0.497162080527208,0
"PRELID1",-0.507498008478548,0
"LRRC25",-0.507696986176739,0
"C5AR1",-0.508356462732909,0
"TNFRSF1B",-0.50974955913975,0
"LILRA5",-0.511508136954645,0
"SERPINA1",-0.514596854313386,0
"IFITM3",-0.515173563333602,0
"VASP",-0.518829917123218,0
"WARS",-0.519178147171768,0
"SH3BGRL3",-0.519608414255071,0
"GBP1",-0.535677357000332,0
"LILRB1",-0.536965044301941,0
"ACTB",-0.538471530172331,0
"MAFB",-0.539595045758392,0
"HES4",-0.546424312254556,0
"APOBEC3A",-0.549512891001181,0
"BID",-0.552613523988432,0
"IFI30",-0.552740500554853,0
"NAMPT",-0.556075176410642,0
"MS4A7",-0.562225533960285,0
"ISG15",-0.562441343541372,0
"LYN",-0.563448290979715,0
"TYMP",-0.573666669420346,0
"FCN1",-0.580982135473776,0
"FCGR3A",-0.582383890514793,0
"TIMP1",-0.597003875236684,0
"TCF7L2",-0.597911394341948,0
"LILRB2",-0.656423150994232,0
