"gene","cor","pval","FDR"
"RPS27",0.622008757789214,0,0
"RPL30",0.603337421023064,0,0
"RPS23",0.598310695262716,0,0
"RPL41",0.597685219580248,0,0
"RPS12",0.595709204718533,0,0
"RPL32",0.59164889046094,0,0
"RPL18A",0.581729208090642,0,0
"RPL39",0.579092583398149,0,0
"RPL26",0.57773565521537,0,0
"RPS15A",0.577679578993667,0,0
"RPL19",0.575548283382932,0,0
"RPL13",0.574482913766993,0,0
"RPS27A",0.571016575811257,0,0
"FAU",0.566896314273282,0,0
"RPL10",0.563105602462239,0,0
"RPS28",0.562343467774634,0,0
"RPL11",0.560432543185674,0,0
"RPL34",0.558028102541017,0,0
"RPS3A",0.556002435524795,0,0
"RPL28",0.554889285828701,0,0
"RPL35A",0.55220840033056,0,0
"RPL18",0.54844941430793,0,0
"RPS15",0.547061073842605,0,0
"RPLP1",0.546619744709856,0,0
"RPL8",0.545680444632611,0,0
"RPS18",0.541766273728158,0,0
"RPL29",0.537904952934616,0,0
"RPL23A",0.536801746082015,0,0
"RPS3",0.535817883398762,0,0
"RPS29",0.535408736985786,0,0
"RPS19",0.534303557143675,0,0
"RPL37",0.531830192144651,0,0
"RPL12",0.53061451386406,0,0
"RPS5",0.529713282298356,0,0
"RPS8",0.527924382676736,0,0
"RPL7A",0.524330825448363,0,0
"RPS9",0.522596162046346,0,0
"RPS13",0.521459589860112,0,0
"RPL35",0.518246095966564,0,0
"RPS14",0.51805780179011,0,0
"RPL21",0.517382330892984,0,0
"RPS25",0.517208741974825,0,0
"RPL36",0.516718532715507,0,0
"RPL15",0.514461975964542,0,0
"RPL9",0.511588874478458,0,0
"RPS21",0.507137409554519,0,0
"TPT1",0.506714101396286,0,0
"RPL10A",0.500948263869698,0,0
"RPS2",0.500359826139822,0,0
"RPL3",0.497923731229457,0,0
"RPS4X",0.494164781664741,0,0
"RPS6",0.49037676083979,0,0
"RPL17",0.490024087665452,0,0
"RPS7",0.481122395196397,0,0
"RPS16",0.479279843787794,0,0
"EEF1A1",0.476763221197686,0,0
"RPS24",0.470809749711337,0,0
"RPL24",0.468299204309341,0,0
"RPL37A",0.462827847514805,0,0
"RPL22",0.461192974841211,0,0
"RPL5",0.459532557291883,0,0
"RPL14",0.459419781847639,0,0
"RPLP2",0.455477784423276,0,0
"RPSA",0.45370004205858,0,0
"NACA",0.444662025492235,0,0
"RACK1",0.439822382437732,0,0
"RPL27",0.43957934071205,0,0
"RPL38",0.438990266094384,0,0
"UBA52",0.435707452998766,0,0
"RPL36A",0.429690199149216,0,0
"RPL6",0.409007037065503,0,0
"RPS10",0.403888100655329,0,0
"EEF1B2",0.399715868042825,0,0
"TMSB10",0.392893737047866,0,0
"TMSB4X",0.374975627573099,0,0
"RPL27A",0.368084529041758,0,0
"PFDN5",0.362150434867912,0,0
"EEF1G",0.352736468109494,0,0
"FTL",0.34906599907168,0,0
"EEF1D",0.334232793856459,0,0
"RPS11",0.334098763893978,0,0
"FTH1",0.316722217690924,0,0
"RPLP0",0.303194542930386,0,0
"CD52",0.298443243452722,0,0
"RPL13A",0.298051063634095,0,0
"RPL7",0.296507389670873,0,0
"BTF3",0.294139945288116,0,0
"ATP5F1E",0.292576995165827,0,0
"COX7C",0.287443244826303,0,0
"PTMA",0.281887143780622,0,0
"TOMM7",0.276800066408579,0,0
"SERF2",0.255588458659803,0,0
"ARPC3",0.25421625760525,0,0
"COX4I1",0.241557579813492,0,0
"H3F3A",0.236039325092306,0,0
"RPL31",0.235202226256605,0,0
"OAZ1",0.229981663621925,0,0
"COMMD6",0.226823346507574,4.21556571657585e-318,2.10328078390333e-316
"HINT1",0.224691833980496,4.89985126852429e-312,2.39812720656632e-310
"SNHG29",0.224500364363581,1.70577192435006e-311,8.26977539550466e-310
"RPL36AL",0.220697017877059,7.71694042261463e-301,3.70629503101089e-299
"NPM1",0.218915621661926,6.44628414150482e-296,3.06735687066604e-294
"NOP53",0.216033096138605,4.79427028307503e-288,2.26034449401124e-286
"RPL4",0.21495417643176,3.95860418552436e-285,1.84938790085542e-283
"MIF",0.213903933492337,2.63921542349906e-282,1.22188541093348e-280
"SRP14",0.208992773698074,2.66866753427751e-269,1.2030072332151e-267
"RPL23",0.204823602365143,1.61509975333609e-258,7.03389629863911e-257
"UQCRB",0.20099272890629,8.08004191960049e-249,3.46027795206891e-247
"IGHM",0.200380291999449,2.75187178331454e-247,1.1687495119383e-245
"CFL1",0.197235809098062,1.68665340071286e-239,7.10468182480606e-238
"ATP5MG",0.195355637928863,6.60440033500505e-235,2.75935067655211e-233
"ATP5MC2",0.193095239486505,1.89990464920032e-229,7.87387902600037e-228
"CHCHD2",0.192630221793054,2.47332052759514e-228,1.01683153530491e-226
"SLC25A6",0.192100339964286,4.56849474938383e-227,1.86329321564155e-225
"NME2",0.191813543122177,2.20645216665292e-226,8.85856069096045e-225
"YBX1",0.191701163680717,4.08681700149727e-226,1.6280738426895e-224
"TCL1A",0.188974296574262,1.13564742770955e-219,4.42128191742376e-218
"RPS20",0.188908573203001,1.61931874462178e-219,6.25690152527168e-218
"UBB",0.188713378709172,4.64117821804493e-219,1.77992648227857e-217
"MYL12A",0.184830645853727,4.54827110976374e-210,1.69373661109245e-208
"EIF3K",0.181430954516897,2.3257501716882e-202,8.4766171151104e-201
"TMA7",0.180418525931293,4.29275385266512e-200,1.54268965376546e-198
"SNHG6",0.179163898281469,2.64424471235124e-197,9.30737916217329e-196
"GAS5",0.178948665980636,7.92085116302898e-197,2.76906490658544e-195
"ARHGDIB",0.173837151676399,1.0855111904971e-185,3.6700276368188e-184
"HLA-DRA",0.171134241043735,6.11533723369628e-180,2.02753019638485e-178
"UQCRH",0.170971675447611,1.34666255138755e-179,4.43621721255169e-178
"PFN1",0.169142182043194,9.19963604067267e-176,2.93645525546689e-174
"OST4",0.168119047402341,1.2280100701128e-173,3.8955208335245e-172
"MYL6",0.16700758964305,2.41373697971204e-171,7.56353313337817e-170
"ATP6V1G1",0.165982678583791,3.0434808854107e-169,9.42195678923228e-168
"ZFAS1",0.165675384683024,1.28988456556715e-168,3.96929148649676e-167
"RPS26",0.163056335045908,2.54866940563022e-163,7.65942226639396e-162
"EIF1",0.162662401225667,1.56737229728256e-162,4.655911118922e-161
