"gene","cor","pval","FDR"
"RPS2",0.481509695250125,0,0
"RPL15",0.459332825884705,0,0
"RPL10",0.443620994699637,0,0
"RPL3",0.439634995414605,0,0
"RPS18",0.438927709853439,0,0
"RPL10A",0.437312856550841,0,0
"RPS6",0.429362239073928,0,0
"GAPDH",0.423560301951758,0,0
"RPS4X",0.423338328939986,0,0
"RPL7A",0.423210556592737,0,0
"RPS8",0.420678396522946,0,0
"RPL6",0.408301986386513,0,0
"RPLP0",0.401949447033507,0,0
"RPL23A",0.399840938799085,0,0
"RPS3A",0.38928342639235,0,0
"EEF1A1",0.38921009372238,0,0
"RPL19",0.386211230285707,0,0
"RPL36A",0.385258127241534,0,0
"RPL18A",0.380132884854225,0,0
"RPL5",0.375352950357098,0,0
"RACK1",0.373401109140201,0,0
"RPS23",0.367906229383841,0,0
"RPL29",0.367026245092464,0,0
"RPL13",0.366678855757601,0,0
"RPL4",0.366419194420043,0,0
"RPL37A",0.36468901117263,0,0
"RPS3",0.362663768828065,0,0
"SLC25A6",0.360984255533668,0,0
"RPS14",0.35779033772886,0,0
"RPL27A",0.357684544202176,0,0
"RPL32",0.352159973563108,0,0
"TPT1",0.351186508824162,0,0
"RPL26",0.348477579400049,0,0
"RPS5",0.343597763627641,0,0
"RPL17",0.339974240706226,0,0
"RPSA",0.339752381222214,0,0
"RPS13",0.339576916873442,0,0
"RPS16",0.335834136680194,0,0
"RPL37",0.333917896523547,0,0
"RPL35",0.330163139664722,0,0
"RPL22",0.329089484220306,0,0
"RPS7",0.328755006215009,0,0
"EEF1G",0.327122717055352,0,0
"ACTG1",0.326224462431757,0,0
"RPL14",0.324641812533078,0,0
"SNHG29",0.321864293939412,0,0
"BTF3",0.321104586309635,0,0
"RPS19",0.320317141358732,0,0
"RPS25",0.319187367576425,0,0
"RPS15A",0.319121991773507,0,0
"RPL18",0.318875943370415,0,0
"RPLP1",0.31736673542045,0,0
"NACA",0.315276548684523,0,0
"EEF1B2",0.311815555312935,0,0
"RPS24",0.311647183009443,0,0
"RPL12",0.310528700040828,0,0
"YBX1",0.30822010648453,0,0
"RPL8",0.308219106641825,0,0
"RPL35A",0.301849359452031,0,0
"S100A10",0.298865114166724,0,0
"RPL13A",0.298626100410963,0,0
"RPS29",0.296611246405358,0,0
"RPS11",0.296425697908745,0,0
"RPS15",0.294554748246764,0,0
"RPLP2",0.290807876673545,0,0
"PPIA",0.290376059798596,0,0
"RPL27",0.289341807195012,0,0
"NME2",0.287804104682167,0,0
"VIM",0.286455236327822,0,0
"RPL31",0.285359606790697,0,0
"RPL9",0.284435132098728,0,0
"LGALS1",0.281339799489275,0,0
"RPL11",0.279000815213178,0,0
"RPL30",0.278227596921323,0,0
"RPL41",0.277471458217759,0,0
"RPS12",0.276126814503482,0,0
"RPL24",0.274309962918116,0,0
"ANXA2",0.271665684672621,0,0
"RPL23",0.268852008686681,0,0
"GSTP1",0.265321038912116,0,0
"RPS10",0.264856361016447,0,0
"LYZ",0.264772946459183,0,0
"UQCRH",0.263855345484742,0,0
"HNRNPA1",0.259243770794464,0,0
"RPS17",0.258511469021133,0,0
"RPL36",0.258005412475358,0,0
"RPS20",0.254816851326764,0,0
"ARHGDIB",0.253687908480706,0,0
"UBA52",0.249844815670437,0,0
"EEF2",0.249050192806802,0,0
"RPL38",0.248895126708391,0,0
"RPS27",0.248764903105764,0,0
"PPIB",0.247839054692186,0,0
"RPS21",0.246235957770967,0,0
"EIF3F",0.244882649812606,0,0
"PFN1",0.244256634608645,0,0
"UQCRB",0.239780291820791,0,0
"GAS5",0.238935111013951,0,0
"KCTD12",0.238899031077981,0,0
"COX4I1",0.238244460928125,0,0
"APLP2",0.237944809723188,0,0
"PKM",0.236927899660233,0,0
"ATP5MC2",0.236515226293368,0,0
"EIF3K",0.236151196997434,0,0
"METTL9",0.235688805504962,0,0
"CFL1",0.234805319876985,0,0
"RNASE2",0.233072585857739,0,0
"EIF3E",0.231310784194035,0,0
"PPDPF",0.231284234417228,0,0
"EIF3H",0.230541840987702,0,0
"ENO1",0.229554863223318,0,0
"RPS27A",0.228696175327607,0,0
"ATP5MC3",0.227418050285133,0,0
"MGST1",0.225902056624881,0,0
"SLC25A5",0.224994728476893,0,0
"COX6C",0.224757932153384,0,0
"HIGD2A",0.224526901476755,0,0
"SSR4",0.221517666404134,0,0
"PLP2",0.221052093059059,0,0
"COX7C",0.22026770097288,0,0
"CSTB",0.219818958651705,0,0
"CCDC88A",0.218881251197433,0,0
"NPM1",0.217910007372265,0,0
"SNHG6",0.216867428335107,0,0
"LDHA",0.216265699510608,0,0
"ATP5MG",0.212915827100183,0,0
"SEC61B",0.212839609451522,0,0
"ATP6V1F",0.212361279206927,0,0
"RPL7",0.211483597118048,0,0
"MGST3",0.210671531477918,0,0
"ATP5F1A",0.210297604013398,0,0
"CSTA",0.209818461445753,0,0
"GLIPR1",0.208403143682067,0,0
"SNHG5",0.208093124611938,0,0
"RPL28",0.205740494589105,0,0
"PCBP2",0.205418268628004,0,0
"EIF4A1",0.205361521898531,0,0
"CES1",0.205203767156148,0,0
"CD99",0.204796661167161,0,0
"BLVRB",0.204133731007221,0,0
"ARPC3",0.20389658669286,0,0
"PARK7",0.203774443991434,0,0
"ARPC2",0.20318821624135,0,0
"COX8A",0.202270583225659,0,0
"HMGB2",0.201549137994614,0,0
"SLC25A3",0.201349875160051,0,0
"COX5A",0.20070393410631,0,0
"ATP5PO",0.200659983241732,0,0
"PSMA7",0.200137135254578,0,0
"ARPC1B",0.200114010788821,0,0
"MYL12A",0.196572642644894,0,0
"YWHAE",0.19649513289593,0,0
"BRI3",0.195701851379771,0,0
"SERPINB1",0.195605649314395,0,0
"TKT",0.194685325701294,0,0
"CLIC1",0.194615250069252,0,0
"SEC11A",0.194530830056158,0,0
"EIF3L",0.193465762581194,0,0
"ANXA1",0.193040460404789,0,0
"NDUFA4",0.192576376726085,0,0
"ATP5F1B",0.192454845345602,0,0
"RPL21",0.191706391450412,0,0
"APRT",0.191118516603334,0,0
"CREG1",0.19109584649263,0,0
"TALDO1",0.190343735564373,0,0
"CHCHD2",0.189425775732207,0,0
"SMDT1",0.189217224106051,0,0
"RPS9",0.188035716918311,0,0
"S100A12",0.187776954604896,0,0
"HINT1",0.18775281587707,0,0
"SUMO2",0.187626976630272,0,0
"COX7B",0.187324923997114,0,0
"LDHB",0.18706409596423,0,0
"SH3BGRL3",0.186842689968405,0,0
"COMT",0.186743209697839,0,0
"NDUFB8",0.185464659633951,0,0
"COX6B1",0.184809037135027,0,0
"OST4",0.184220632222477,0,0
"ATP5MF",0.183926820065606,0,0
"DBI",0.183655172337361,1.97626258336499e-323,7.0157321709457e-322
"TSPO",0.182528702100464,1.33061759737965e-319,4.70996238639981e-318
"EID1",0.182284685793994,9.69702643092615e-319,3.39649776011248e-317
"PRDX1",0.181547662936869,3.84192659564583e-316,1.3386712982321e-314
"CAST",0.181197471614407,6.53119899803138e-315,2.26392338327515e-313
"PEPD",0.180993335959904,3.39689244050114e-314,1.17140259932786e-312
"C1QBP",0.180562431581078,1.09604537456e-312,3.76027874656725e-311
"CANX",0.180472874796091,2.25380805409998e-312,7.69284483771881e-311
"S100A9",0.179137083791934,1.00732157537355e-307,3.40352592891366e-306
"ARF1",0.178371264180401,4.49369319339331e-305,1.51069384240207e-303
"ATP5F1C",0.177825148774789,3.42428530945173e-303,1.1454234360116e-301
"CALM1",0.17758308899828,2.32684624013932e-302,7.7445777843443e-301
"MTDH",0.177224441399828,3.95891356467951e-301,1.31114513602505e-299
"COX5B",0.176863369161025,6.82389846326815e-300,2.24886111917556e-298
"LY86",0.176501815953141,1.17341090168533e-298,3.84809751582099e-297
"COX7A2L",0.17580978967222,2.67050498983282e-296,8.71496506438127e-295
"HSP90AB1",0.175424324135669,5.4360086747534e-295,1.7653833997136e-293
"GNAS",0.174458810382575,9.9974941724539e-292,3.21554019296715e-290
"EIF4B",0.174176684604751,8.91680442726867e-291,2.85423069944629e-289
"MDH2",0.17411360192362,1.45370052665413e-290,4.63107453491244e-289
"TXN",0.173953594300655,5.01782660306231e-290,1.59096018836431e-288
"OSTC",0.173840019110031,1.20810441617832e-289,3.81236723784573e-288
"CLTA",0.173788905081356,1.79370337448632e-289,5.63374440155561e-288
"VAMP8",0.173691977932946,3.79397883687976e-289,1.18606160835166e-287
"PTMA",0.173593797663724,8.09933057868792e-289,2.52021030564754e-287
"RAB5IF",0.173502420437606,1.63985140938587e-288,5.07898422629236e-287
"BRK1",0.173239587720923,1.24461662737607e-287,3.83708997103498e-286
"GLRX",0.173115223084706,3.24370728692299e-287,9.95431272913522e-286
"ATP5PD",0.172730981545262,6.22799598337948e-286,1.90252480040223e-284
"PYCARD",0.172028418929876,1.3582612423082e-283,4.13034895956448e-282
"GNG5",0.171892373611957,3.84302420610788e-283,1.1633408117132e-281
"PRELID1",0.171654775047887,2.35844811353078e-282,7.10721526104546e-281
"TRAPPC1",0.171474902581791,9.29765664684463e-282,2.78929699405339e-280
"F13A1",0.17098555757378,3.85268181084882e-280,1.14553072509238e-278
"EDF1",0.170813749648529,1.42057556799445e-279,4.20515511056765e-278
"ZFAS1",0.170567327971434,9.20922620903159e-279,2.71408472856482e-277
"SNRPF",0.170038959683814,5.01864294676744e-277,1.47257549622255e-275
"EIF3M",0.170034882014382,5.17564494361336e-277,1.51201155776303e-275
"COMMD6",0.16988054711171,1.65982735066213e-276,4.82793259823029e-275
"RPL34",0.169688571840559,7.0617778558924e-276,2.04516423618702e-274
"RPS28",0.169514181075833,2.627313862079e-275,7.57617661090883e-274
"LAMTOR1",0.169478838189779,3.42828171895289e-275,9.84343549347418e-274
"CD164",0.169449670655393,4.27001719820489e-275,1.22078696820473e-273
"PABPC1",0.168299882037495,2.37379094008429e-271,6.75772825070804e-270
"HCST",0.168129550333995,8.47117355825708e-271,2.40136233494661e-269
"SRSF9",0.168112033222764,9.65450292199524e-271,2.72525841975309e-269
"PHB2",0.167782452717595,1.12716360743722e-269,3.16837165283824e-268
"LGALS3",0.167600834411753,4.3567548046094e-269,1.21952676329861e-267
"MYADM",0.167531437561422,7.30041214169728e-269,2.03498988449812e-267
"FCGRT",0.167412000822086,1.77400268121262e-268,4.92451366693463e-267
"MZT2B",0.167177124535661,1.01488280406071e-267,2.80560576825048e-266
"CDA",0.167147216336798,1.26703148352273e-267,3.48824717068603e-266
"SERBP1",0.167008785342925,3.53678539615391e-267,9.69716979519248e-266
"SSR2",0.1665269256083,1.25144602178655e-265,3.4172138309192e-264
"HADHA",0.166391824060612,3.39477123413242e-265,9.23212177087231e-264
"APEX1",0.166236875707183,1.06517113203968e-264,2.88501816734633e-263
"MYDGF",0.166170811447733,1.733830490198e-264,4.67714757234864e-263
"CD302",0.16606048400308,3.90984846396447e-264,1.05047735839045e-262
"VCAN",0.165907127557105,1.20958423186258e-263,3.23684740446427e-262
"COPE",0.164575460742226,2.09692690581653e-259,5.58902031869028e-258
"FBP1",0.164351664469787,1.07259229752445e-258,2.84747717080896e-257
"FKBP1A",0.164324519380491,1.30720828162362e-258,3.45661004113123e-257
"EIF2S3",0.163902986386205,2.80875793912027e-257,7.39787031996638e-256
"P4HB",0.163658744249744,1.65478903121074e-256,4.341387693647e-255
"TOMM7",0.163150892778762,6.55242178676851e-255,1.71233209974536e-253
"RPL39",0.162637468741816,2.66856386009978e-253,6.91964814886338e-252
"RNH1",0.162439684106488,1.10922488412221e-252,2.86514072385235e-251
"FCER1G",0.162429135237583,1.19673509937331e-252,3.07929146723362e-251
"LAMTOR2",0.162272832541383,3.68447459910988e-252,9.44411305289085e-251
"PGAM1",0.162140923547585,9.5092984742028e-252,2.4281376638327e-250
"CCR2",0.161987271061024,2.86650421579092e-251,7.29160197857082e-250
"TMPO",0.161452448153246,1.32314028752389e-249,3.35295777406622e-248
"NOP53",0.161324222820421,3.30944429628105e-249,8.35478578947932e-248
"ATP5PB",0.16126864482569,4.92295117286449e-249,1.23814072731065e-247
"UXT",0.161163726881284,1.04144921839914e-248,2.60947388430346e-247
"SNHG32",0.161138442545394,1.24745954601633e-248,3.11399416524226e-247
"SPCS1",0.160683938925168,3.18351497661925e-247,7.91736624296758e-246
"TRIR",0.160652124200587,3.99236684911568e-247,9.89219785947553e-246
"PTRHD1",0.160496047853642,1.21140286423513e-246,2.99051112979078e-245
"SRP14",0.160388828121146,2.59515083975565e-246,6.38292614631078e-245
"RTRAF",0.160312938706902,4.44848957364733e-246,1.09012436804764e-244
"RNASE6",0.160273839401985,5.87155332213729e-246,1.43360188777732e-244
"UFC1",0.160006854755059,3.89961966235384e-245,9.4867111058717e-244
"PLD3",0.159066776475296,2.98433731670638e-242,7.2337741481035e-241
"CAPZA1",0.158989208138702,5.15232114034038e-242,1.24436925736019e-240
"ATP5PF",0.158696895970231,4.02362773652321e-241,9.68275883357565e-240
"WASF2",0.15854554248352,1.16444391839782e-240,2.7921612236851e-239
"SNRPD2",0.158331724651964,5.21549223964614e-240,1.24613011011545e-238
"TPI1",0.157918764466446,9.38305457178922e-239,2.233901604458e-237
"ZEB2",0.1575625814315,1.12739576576122e-237,2.67456655068884e-236
"PLBD1",0.157557220423405,1.17032963926097e-237,2.76660964192788e-236
"RBM3",0.157474080616911,2.08910746393734e-237,4.9211721597679e-236
"H2AFY",0.157410397288338,3.25557030747384e-237,7.64202293228069e-236
"IFI30",0.15712556258712,2.36243590432507e-236,5.52611755242473e-235
"NAP1L1",0.156995843863079,5.81850085045754e-236,1.35629863029829e-234
"TOMM6",0.156765424390856,2.87945299163586e-235,6.68872934515412e-234
"DNAJC15",0.156719442419203,3.96072375776795e-235,9.16859582680539e-234
"MYL12B",0.156623934666045,7.67783861451645e-235,1.77119794245224e-233
"LIMS1",0.156211668185953,1.3304333010778e-233,3.05862501175617e-232
"FCN1",0.155463937074116,2.30144841496263e-231,5.27283900551369e-230
"EVI2B",0.15493529954858,8.65884711681513e-230,1.97705417104072e-228
"NSA2",0.154918356420573,9.72436948736577e-230,2.21279019967609e-228
"CCNI",0.154557181178063,1.15051039926736e-228,2.60912358342327e-227
"HSP90B1",0.153739446576069,3.02441366009738e-226,6.83558357636874e-225
"GPX4",0.153627202478919,6.48235883601962e-226,1.46016769740644e-224
"RNF130",0.153446317946311,2.21189520659931e-225,4.96563051414408e-224
"XIST",0.153408631497412,2.85585704799431e-225,6.38986075287022e-224
"SET",0.1533662392966,3.80654446210978e-225,8.4885941505048e-224
"ERP29",0.15282568533623,1.47453196403304e-223,3.27728200643889e-222
"CDC42",0.152810971153549,1.62855264866838e-223,3.60762159589121e-222
"PRDX3",0.152748033077236,2.49064183172436e-223,5.49913988588646e-222
"RAC2",0.152660405388865,4.4985082691712e-223,9.89967773709057e-222
"RSL1D1",0.152239771848683,7.64573204923845e-222,1.67704745604607e-220
"HEBP2",0.152070148949251,2.39089692943349e-221,5.22715701238891e-220
