"gene","cor","pval","FDR"
"S100A4",0.471851906329277,0,0
"B2M",0.381286109369249,9.88131291682493e-324,1.6901985744229e-320
"KLRB1",0.334768765334469,1.79192097845318e-245,1.02169361121472e-242
"S100A11",0.310158273716224,3.37109681956116e-209,1.28139135774652e-206
"CD2",0.309389445490316,4.04208771459093e-208,1.38279820716156e-205
"TMSB4X",0.289744308719494,1.22399609205634e-181,2.99092187923195e-179
"SH3BGRL3",0.283844239400757,4.36195243420725e-174,8.77778781024883e-172
"CRIP1",0.283317222538472,2.0200873393312e-173,3.83928821547335e-171
"CKLF",0.279789944743232,5.29074766927674e-169,9.5261304087346e-167
"IL32",0.279595399245894,9.23244138179836e-169,1.57920909835661e-166
"CLIC1",0.273036375181205,1.00708854311473e-160,1.64059519333118e-158
"ANXA1",0.260844931277064,2.28493826316428e-146,2.79170492795893e-144
"MAF",0.260175060692934,1.33624952103408e-145,1.5763136591233e-143
"S100A6",0.259295765477893,1.34672038722531e-144,1.48617111119283e-142
"ALOX5AP",0.255864746873317,1.01743284176326e-140,1.08769929739754e-138
"SRGN",0.244155230150982,6.35827705387331e-128,5.72412257928963e-126
"HLA-A",0.237268852305439,1.0336889658098e-120,8.22383709775657e-119
"LGALS1",0.232539381015501,6.81744458943649e-116,4.75968937560454e-114
"CAPG",0.229326831176704,1.11100683043173e-112,7.30914301328262e-111
"GZMA",0.229080067774519,1.9516328915357e-112,1.25972379659313e-110
"GAPDH",0.224174184723932,1.24310824131977e-107,7.46083033957003e-106
"MYL6",0.223422118011524,6.61969814740204e-107,3.83830294275633e-105
"S100A10",0.218525997771552,3.04683832524646e-102,1.73720565177802e-100
"CD40LG",0.217335704564286,3.98430196108068e-101,2.23447491948475e-99
"HLA-B",0.215054319557182,5.26818598501349e-99,2.81601003980174e-97
"ANXA2",0.214803363659661,8.98493206590863e-99,4.65718978749597e-97
"ACTB",0.210007636747253,2.12571527874379e-94,1.01000999563646e-92
"CCR6",0.2070563055738,9.24531620306446e-92,4.21709689742447e-90
"CD52",0.206724310284432,1.8204618784499e-91,8.19447379760146e-90
"HOPX",0.201555610346934,5.96339090811012e-87,2.58237472109427e-85
"LINC00892",0.199819981504441,1.83664801206394e-85,7.75700351761818e-84
"LGALS3",0.196976505562911,4.70672850758646e-83,1.91687121719682e-81
"PFN1",0.196875782749539,5.719522054504e-83,2.30193940570096e-81
"CTSC",0.192776389857445,1.45470364588527e-79,5.72016226732587e-78
"LINC01871",0.188128531159542,8.53137543685736e-76,3.24287059660989e-74
"CD99",0.185636775698486,8.14301076388195e-74,3.02796085035219e-72
"HLA-C",0.185400772411508,1.24979108308296e-73,4.59734977981378e-72
"TYMP",0.181178286920652,2.41592240960073e-70,8.79241549281286e-69
"AC020916.1",0.179767130958523,2.90686342948604e-69,1.01473263186446e-67
"ACTN4",0.178904740183402,1.31594449001304e-68,4.50184610033459e-67
"CYBA",0.178035520710945,5.98222186835223e-68,1.98691077782844e-66
"TNF",0.177212446086482,2.49143690027056e-67,8.11733870078626e-66
"TNFSF14",0.176498669988538,8.5369139530312e-67,2.75516817295469e-65
"MYL12B",0.175864150460333,2.54007348491069e-66,8.12111345035465e-65
"IFI44",0.175611510734139,3.91643440735038e-66,1.24056686180978e-64
"CCDC107",0.174027969164125,5.82165957659231e-65,1.82714655151581e-63
"CST7",0.173747350118226,9.36688128159766e-65,2.91310007857687e-63
"KLF6",0.169798923099818,6.92738684712388e-62,2.09722038973547e-60
"AHNAK",0.169415743347041,1.30405663061147e-61,3.91331380115951e-60
"MYO1F",0.168450563814548,6.3739005116615e-61,1.8960968391647e-59
"JUND",0.168154297140088,1.0353818097019e-60,3.05348376809501e-59
"SLAMF1",0.16615857864742,2.65608549622164e-59,7.63568780048253e-58
"APOBEC3G",0.165365984987841,9.52753113559018e-59,2.71614033457117e-57
"JPT1",0.161427053514766,4.95039359385744e-56,1.37685337273059e-54
"IL2RG",0.159938744883058,5.0456647908929e-55,1.39203381045521e-53
"RHOC",0.159522581980571,9.61854650315237e-55,2.63240380698274e-53
"IFI44L",0.159292856629885,1.37230528435042e-54,3.72591776012918e-53
"ARPC2",0.158775089541478,3.05113895103675e-54,8.15464558710682e-53
"FTH1",0.157530257032442,2.06032138910197e-53,5.42181497855217e-52
"DYNLL1",0.157316321816034,2.85628513346192e-53,7.45904690196429e-52
"TNFRSF4",0.157126792285753,3.8134333572295e-53,9.80883873314445e-52
"IFNGR1",0.15598690845193,2.15214321660846e-52,5.41358966471877e-51
"TXN",0.155590782909199,3.91482826392614e-52,9.77564050430025e-51
"TNFRSF18",0.154332581968634,2.5910679027691e-51,6.28655552863339e-50
"RORA",0.152667352196434,3.08396271574354e-50,7.2760251383163e-49
"ISG15",0.152273528363945,5.51722886541806e-50,1.29276985949282e-48
"UBC",0.149268165915696,4.43777726329943e-48,9.92263792009631e-47
"YWHAQ",0.148728668967376,9.66153086203393e-48,2.14624007006611e-46
"CD63",0.148589820251588,1.17977764578467e-47,2.603883436277e-46
"CYTOR",0.148518928501237,1.3063566203836e-47,2.86477307585403e-46
"JUN",0.148379062413921,1.59706879515364e-47,3.47998238740166e-46
"YWHAH",0.148257577784198,1.90128967055236e-47,4.11665314111369e-46
"CFL1",0.146961487340803,1.21043175680956e-46,2.60433147172673e-45
"CCL5",0.14542209935462,1.06721268190457e-45,2.2818341154972e-44
"STOM",0.14389214070325,9.06944587990314e-45,1.92711641957445e-43
"GLIPR2",0.142630232514156,5.20542306938875e-44,1.08583855612067e-42
"CTSH",0.141973112820231,1.28498796617608e-43,2.66420838320506e-42
"PTPN7",0.140407153402089,1.08789902701081e-42,2.24198950084577e-41
"REEP5",0.139984846461674,1.92731667185963e-42,3.94811397271365e-41
"DUSP1",0.137062768142956,9.60248588591544e-41,1.93235907151275e-39
"SEC61B",0.136711207258871,1.52800460809909e-40,3.05690278614443e-39
"ATP5F1E",0.136668167919826,1.61728274685515e-40,3.21670016104155e-39
"SSBP4",0.135852852900988,4.72553096995664e-40,9.34453262902987e-39
"NIBAN1",0.135555872895787,6.97202900683899e-40,1.35518813820433e-38
"VIM",0.135539114129396,7.12655257660818e-40,1.37739753472184e-38
"PPIB",0.134658063888853,2.24742576523907e-39,4.31935030499036e-38
"FKBP11",0.134405131963726,3.12080156511434e-39,5.93125675236454e-38
"H3F3B",0.134376242199183,3.23991916781415e-39,6.12362622822774e-38
