"gene","cor","pval","FDR"
"MALAT1",0.310433097644849,5.59638499647361e-130,2.01727164930359e-128
"RNF213",0.242710843586413,1.18488762874001e-78,3.31768536047204e-77
"SYNE2",0.220404915378474,7.61017770152445e-65,1.79439979488577e-63
"NKTR",0.218260603479524,1.35417164507268e-63,3.16916587981188e-62
"DDX17",0.215763849432954,3.720721513267e-62,8.64309827081874e-61
"MACF1",0.211415872609554,1.08009765620442e-59,2.3853424294768e-58
"PTPRC",0.211254712022508,1.32954231618226e-59,2.91569559688641e-58
"ARAP2",0.208120228171115,7.31077609901724e-58,1.53869757359182e-56
"FLNA",0.200368200919093,1.11487072558179e-53,2.15816950334846e-52
"MT-CO1",0.196585254374628,1.06325384323783e-51,2.00865304361075e-50
"AC004687.1",0.194923294074711,7.64655502777331e-51,1.42735693851768e-49
"PCSK7",0.193620631974756,3.54499876671451e-50,6.53948007789219e-49
"SYNE1",0.18959683877493,3.777252730771e-48,6.65475537286396e-47
"IKZF3",0.189348749991559,5.01996330099696e-48,8.69757177454501e-47
"XIST",0.183822701886659,2.55617363809418e-45,4.19694268537349e-44
"AKNA",0.181657003240082,2.78774477022184e-44,4.48326543559779e-43
"OGT",0.181574821660618,3.05051202831777e-44,4.88081924530843e-43
"MT-ND5",0.181481632062046,3.37839018005662e-44,5.3779855861206e-43
"MT-CO2",0.178636707952806,7.42456770872851e-43,1.14696770121047e-41
"MT-ND3",0.177658256717974,2.12342653862743e-42,3.23255612870661e-41
"MIAT",0.17548698654325,2.13953176534173e-41,3.17989176119037e-40
"PARP14",0.175352078889975,2.46732850538044e-41,3.64978405324202e-40
"NEAT1",0.173465303587522,1.78981405140417e-40,2.56294834027556e-39
"OGA",0.173094800824695,2.63420217775647e-40,3.73794480970329e-39
"ITGAL",0.170399888086323,4.26712300299159e-39,5.89502102968354e-38
"MT-ATP6",0.1696219069398,9.45352928841408e-39,1.29459684927802e-37
"MT-ND4",0.166803801092266,1.63345636320716e-37,2.17055896399053e-36
