"gene","cor","pval","FDR"
"GZMH",0.610668050110071,0,0
"ZEB2",0.541216436475002,0,0
"GZMB",0.539750578536597,0,0
"FGFBP2",0.512221878687777,0,0
"KLRD1",0.47638055530702,0,0
"NKG7",0.476371370204435,0,0
"PRF1",0.453206438751849,0,0
"GNLY",0.449961817270888,0,0
"ADGRG1",0.437619853872212,0,0
"SYNE1",0.422599526075573,0,0
"CCL5",0.389412146600353,0,0
"EFHD2",0.386390232947002,0,0
"CX3CR1",0.384106432517841,0,0
"CST7",0.365818930688402,0,0
"PLEK",0.35653566376355,0,0
"FLNA",0.349107896996538,0,0
"FCGR3A",0.348152812453745,0,0
"CD8A",0.347354414150914,0,0
"C1orf21",0.344308449281133,0,0
"TGFBR3",0.343574522493811,0,0
"CEP78",0.341203474002483,0,0
"ITGAL",0.339751369505441,0,0
"CCL4",0.333309476465534,0,0
"MALAT1",0.323525239517942,0,0
"MYO1F",0.318999030419368,0,0
"KLRK1",0.3158767887446,0,0
"S1PR5",0.301040432438392,0,0
"RNF213",0.300756520948633,0,0
"FCRL6",0.296945725534517,0,0
"SPON2",0.294561581027853,0,0
"MT-CO2",0.292202377831523,0,0
"NEAT1",0.290568389169147,0,0
"TBX21",0.288941490898324,0,0
"PATL2",0.28891754913691,0,0
"IKZF3",0.279226845319126,0,0
"RUNX3",0.278239217104448,0,0
"SYNE2",0.277541085236742,0,0
"AKNA",0.276559319478023,0,0
"CLIC3",0.273075932541708,0,0
"PTPRC",0.27166275754521,0,0
"USP28",0.271517136326796,0,0
"LPCAT1",0.266983330559228,0,0
"PYHIN1",0.260788768150857,0,0
"SLAMF7",0.260587412396272,0,0
"MT-CO1",0.257910033987375,0,0
"GK5",0.257491794443794,0,0
"GZMA",0.253053066692606,0,0
"FGR",0.249957127467744,0,0
"MACF1",0.249286806994118,0,0
"ITGB2",0.24777730332249,0,0
"SAMD3",0.245580206064293,0,0
"CHST12",0.244910018551622,0,0
"GNPTAB",0.24141898824772,0,0
"ENC1",0.236969636541515,0,0
"CTSW",0.235266983387158,0,0
"GAB3",0.234629260746494,0,0
"ABHD17A",0.232912378701192,0,0
"XIST",0.230875393801116,0,0
"LITAF",0.230495395035774,0,0
"MIAT",0.229453885820368,0,0
"PPP2R5C",0.225247973608159,0,0
"MT-ATP6",0.224885522519431,0,0
"UTRN",0.223623373168045,0,0
"AOAH",0.220375026040862,0,0
"CEMIP2",0.219429424152844,0,0
"GZMM",0.216021271677703,0,0
"MYO1G",0.214239272728629,0,0
"FAM53B",0.213943681435192,0,0
"PCSK7",0.213072242465904,0,0
"IGF2R",0.212839919944467,0,0
"HLA-DPB1",0.211840144917494,0,0
"F2R",0.211705596198597,0,0
"TRGC2",0.207883138426068,0,0
"SYTL3",0.205574680234351,0,0
"MCTP2",0.20545205632847,0,0
"ARAP2",0.204984580551746,0,0
"ZBTB7A",0.204825888343045,0,0
"STK10",0.203750301986187,0,0
"NFATC2",0.203548185050591,0,0
"MBP",0.202228046259398,0,0
"GNG2",0.201989331497312,0,0
"ADRB2",0.201294035546118,0,0
"SSBP3",0.20023591925551,0,0
"APOL6",0.200061816805245,0,0
"TRG-AS1",0.199291956463685,0,0
"PRR5L",0.19922831326935,0,0
"HLA-DRB1",0.198694068225464,0,0
"PTPN12",0.197833548594345,0,0
"A2M-AS1",0.196347967057304,0,0
"PRKCH",0.195816661993673,0,0
"PRKCB",0.195670524634112,0,0
"DIP2A",0.192764654841571,0,0
"RAP2A",0.192751682717832,0,0
"RAP1B",0.192553609797125,0,0
"SPN",0.191202517299821,0,0
"PTPRJ",0.190982984286216,0,0
"AHNAK",0.190786402290893,0,0
"CELF2",0.190204234921353,0,0
"CD8B",0.189897047406251,0,0
"FUT11",0.189210122900112,0,0
"MYBL1",0.187647117932866,0,0
"TPST2",0.186263277194358,0,0
"ITGAM",0.186012375511364,0,0
"ACTN4",0.184748881662706,0,0
"ATP2B4",0.184562980922752,0,0
"ZAP70",0.184081671516399,0,0
"ZBTB38",0.18407810948542,0,0
"ATF7IP",0.183966985310579,0,0
"ADGRE5",0.183494692769542,0,0
"OGA",0.183441060705854,0,0
"EIF4G3",0.183044716320259,0,0
"LAG3",0.182297325297567,0,0
"LCP1",0.182155378183097,0,0
"LLGL2",0.181932204665823,0,0
"NCKAP1L",0.181144771829929,0,0
"DIAPH1",0.180143088935734,0,0
"MT-CO3",0.179524184195931,0,0
"IQGAP1",0.179288289605492,0,0
"TMEM181",0.179223357433871,0,0
"SLC20A1",0.178803917697892,0,0
"IRF1",0.178791047243112,0,0
"TNFRSF1B",0.178404950670611,0,0
"TFDP2",0.178250853514256,0,0
"NLRC5",0.178156571063409,0,0
"SMG1",0.178013149690544,0,0
"APMAP",0.177980405950122,0,0
"VCL",0.1768629820716,0,0
"LSP1",0.176736438904431,0,0
"ABI3",0.176346441441336,0,0
"TAPBP",0.17614676565521,0,0
"LNPEP",0.175760855325956,0,0
"MATK",0.175673782382368,0,0
"RAP1GAP2",0.175496208553897,0,0
"DDX17",0.174358295710936,0,0
"MSN",0.173650343184207,0,0
"PTPN4",0.17315460225503,0,0
"MYH9",0.172319409248438,0,0
"INPP5D",0.171771508282149,0,0
"SUN2",0.169080252268654,0,0
"AGPAT4",0.168572369734843,0,0
"DDX6",0.167946559182739,0,0
"CYFIP2",0.167900388457812,0,0
"ID2",0.167640175255645,0,0
"THEMIS",0.167237597318156,1.97626258336499e-323,3.11261356879985e-322
"S100A9",0.167034052918823,1.18575755001899e-322,1.87250879773832e-321
"GOLGA4",0.166638386656386,3.99205041839727e-321,6.26425832362116e-320
"RAPGEF1",0.166582727656301,6.56119177677175e-321,1.02656959892894e-319
"ARHGAP26",0.165288184241063,6.61601903199579e-316,1.0233028862852e-314
"LRRFIP1",0.165039868097755,5.96523930080372e-315,9.20010335592811e-314
"ARHGAP30",0.164762094940112,6.95276071686486e-314,1.06622165765783e-312
"MAPK1",0.164551914527525,4.44529641927411e-313,6.79765157825595e-312
