"gene","cor","pval","FDR"
"AHNAK",0.49994438220473,0,0
"MALAT1",0.408712304546414,0,0
"SYNE2",0.404527564195294,0,0
"NEAT1",0.393485172380853,0,0
"RORA",0.377348969252611,0,0
"ITGB1",0.348121471440434,0,0
"S100A4",0.345597548411486,0,0
"MT-CO2",0.345583016508248,0,0
"FLNA",0.343301271108935,0,0
"MYO1F",0.336249796985319,0,0
"MACF1",0.316389060261057,0,0
"MAF",0.310263002685735,0,0
"MT-ND1",0.308888823992004,0,0
"PAG1",0.304542542085515,0,0
"MT-ATP6",0.295494975617835,0,0
"MT-CO3",0.29296117675741,0,0
"MYH9",0.290327067221416,0,0
"RNF213",0.284756538283513,0,0
"NIBAN1",0.281732061285189,0,0
"MTRNR2L12",0.276978068439985,0,0
"LRRFIP1",0.270372979033203,0,0
"GPRIN3",0.268825810424107,0,0
"PRDM1",0.260475373700722,0,0
"LINC-PINT",0.260049726119997,0,0
"MT-CYB",0.259804844996066,0,0
"KLF6",0.259073743250028,0,0
"MT-CO1",0.25849429147879,0,0
"CAST",0.256104974144591,0,0
"CCR6",0.252491795830467,0,0
"ADAM19",0.252220831396248,0,0
"NKTR",0.233990240554801,0,0
"IL10RA",0.232120404022143,0,0
"ANXA1",0.230936135031744,0,0
"PREX1",0.230149453295897,0,0
"ACTN4",0.228567972068042,0,0
"PPP2R5C",0.227904202518205,0,0
"PLEC",0.227668359821075,0,0
"CRIP1",0.227625829880775,0,0
"MIAT",0.226767514175115,0,0
"LCP1",0.226530347462392,0,0
"SPOCK2",0.226366622363294,0,0
"ANXA2",0.223662879681483,3.55727265005698e-322,1.25937333124934e-320
"USP46",0.22310443780275,1.57211688506685e-320,5.5284463572698e-319
"ANKRD12",0.222295468298841,3.63308208275486e-318,1.26918853818275e-316
"ERN1",0.221849159256943,7.24981059263237e-317,2.5161107333463e-315
"KAT2B",0.22157401170013,4.5747570734508e-316,1.57740000411581e-314
"MT-ND2",0.221420614763141,1.27621098964648e-315,4.37205184201394e-314
"EML4",0.219926001349665,2.68765295072509e-311,9.14835715919888e-310
"ATP2B4",0.217445875805486,3.40857809241153e-304,1.13833645727706e-302
"MT-ND3",0.216539533019098,1.27736699943183e-301,4.2392617293644e-300
"SMG1",0.216169092830113,1.42843406591028e-300,4.71117073912024e-299
"CFLAR",0.21540127744955,2.09856450825203e-298,6.87862811038165e-297
"AC016831.5",0.215350676442107,2.91367069902784e-298,9.49177387229316e-297
"PCNX1",0.213689408651578,1.32755805497068e-293,4.29837394627703e-292
"MYBL1",0.213178319222465,3.5345619529232e-292,1.12386371077977e-290
"LGALS1",0.213024635800562,9.46639573809687e-292,2.99205722436276e-290
"MYO1G",0.2123636261393,6.49480063671864e-290,2.02867008123388e-288
"OGA",0.210961423476343,4.86910569324601e-286,1.47742578463636e-284
"PIEZO1",0.210628001825163,4.02449095038163e-285,1.20734728511449e-283
"CDC14A",0.210507253520343,8.6398423201457e-285,2.57739116404347e-283
"FMNL1",0.209745800138585,1.05697089016329e-282,3.13548347864083e-281
"BIRC3",0.20824556862206,1.29684143249186e-278,3.78364176183064e-277
"SPTAN1",0.207188740912037,9.41983425062522e-276,2.71844129732717e-274
"ATXN1",0.206874891515509,6.61727318491439e-275,1.89933624929164e-273
"MAP3K1",0.206727672893379,1.64942640579682e-274,4.70884635203287e-273
"ATP2B1",0.206711726688184,1.82086884592446e-274,5.17048854110101e-273
"RNF19A",0.203540167278138,5.37370932638206e-266,1.49394746194182e-264
"EMB",0.203380825598066,1.41926474492659e-265,3.90481647438352e-264
"XIST",0.203105123838428,7.60361685311044e-265,2.0811961592792e-263
"UTRN",0.200922074005409,4.12275443019312e-259,1.10564777900634e-257
"IFI44L",0.198321316794841,2.285807713365e-252,6.03862634724784e-251
"PCSK7",0.197648061443831,1.22841907935543e-250,3.22916104523629e-249
"S100A10",0.196078171831992,1.25717469019573e-246,3.24058136162102e-245
"ANKRD28",0.196014075606936,1.82973037647332e-246,4.6936561831272e-245
"BHLHE40",0.195580800598734,2.30496078824635e-245,5.8842989353789e-244
"IL32",0.195502890712866,3.63272700321695e-245,9.22955999381914e-244
"ZC3H12D",0.195134462419273,3.11436488898791e-244,7.87489407644085e-243
"ODF2L",0.19450129697897,1.23762825891818e-242,3.11460002599788e-241
"IKZF3",0.192707220332645,3.92292036866659e-238,9.82580526302812e-237
"IQGAP2",0.192188682929105,7.69434708092168e-237,1.91816821594808e-235
"S100A9",0.191109210092949,3.6726406037109e-234,9.07056818869996e-233
"SOS1",0.190736610640652,3.06093893446887e-233,7.52480821390265e-232
"PHTF2",0.190622619919964,5.85054435436805e-233,1.43163089961725e-231
"FRY",0.190376325469617,2.36843546652142e-232,5.76898730606824e-231
"SLCO3A1",0.189501876566803,3.33967071085228e-230,8.06075067028436e-229
"AKNA",0.188899032390295,9.98180618231754e-229,2.38754012739217e-227
"ATP8B2",0.188867573129489,1.19143293670674e-228,2.83699950399676e-227
"TNFRSF1B",0.188021485530718,1.37424189102961e-226,3.25768948275322e-225
"EIF3A",0.188012095678966,1.44840982283372e-226,3.41824718188759e-225
"SP100",0.187948647241544,2.06591794925771e-226,4.85399305776923e-225
"DYNC1H1",0.187748447917823,6.32942273324974e-226,1.4805830270289e-224
"TNFRSF4",0.187096800279709,2.40029903878949e-224,5.56575890653808e-223
"SMCHD1",0.187004212831462,4.01903732049839e-224,9.27873398775933e-223
"SYNE3",0.186294178272273,2.07439886079825e-222,4.76842335534142e-221
"TNFAIP3",0.185806487251376,3.08517209013667e-221,7.0613206028559e-220
"GOLGB1",0.183736041395325,2.69132658947768e-216,6.10724110689165e-215
"RPS6KA3",0.183246695009216,3.88195317930322e-215,8.77156229025536e-214
"ZFP36L2",0.182969359215084,1.75587332223427e-214,3.93404529158817e-213
"PRKX",0.182059533329959,2.43948327713367e-212,5.41993983329698e-211
"PARP14",0.181822380884122,8.78947548601746e-212,1.94467145128136e-210
"TNFRSF25",0.181257504595853,1.84830948473995e-210,4.07241633359716e-209
"AC016831.7",0.18075879584681,2.69768421909686e-209,5.89493958987833e-208
"AC016831.1",0.180671889200009,4.30052676903861e-209,9.35893325557173e-208
"CAPN2",0.180549333293699,8.29763352795289e-209,1.79107455420447e-207
"PTPRC",0.180431776281233,1.55793938276937e-208,3.3357492429457e-207
"CRYBG1",0.179812433342259,4.27410001893238e-207,9.11464702832567e-206
"SLFN12L",0.179724198800827,6.84419488582364e-207,1.45370699374894e-205
"PARP8",0.179163845126671,1.35335365476087e-205,2.84043790781828e-204
"ANKRD44",0.179023869771773,2.84773557203763e-205,5.95333696359049e-204
"KIAA1109",0.178838376782685,7.62494969887115e-205,1.58158136332054e-203
"PRRC2C",0.178108218770176,3.64218167484679e-203,7.52528587293247e-202
"IQGAP1",0.177800888124884,1.8447484917023e-202,3.79674980268962e-201
"CD28",0.177706341911719,3.03689886954386e-202,6.22622895647795e-201
"CCNL1",0.176744291632415,4.76857023537798e-200,9.7015739271483e-199
"MAP4",0.176686721390937,6.44755887385145e-200,1.30673807710501e-198
"INPP4B",0.17616940489926,9.65094214682083e-199,1.94115540907646e-197
"HLA-A",0.176127406883152,1.20175218402898e-198,2.39898650270447e-197
"CD226",0.175400970695617,5.28991668840391e-197,1.03651135112268e-195
"DDX17",0.175278256152729,1.00090030946318e-196,1.94680609642839e-195
"CCND2",0.174766444637676,1.42307852217465e-195,2.74783525554451e-194
"KMT2A",0.174561052518396,4.11966722979956e-195,7.92588151820133e-194
"CD84",0.174027994015881,6.46045380373139e-194,1.23844800353118e-192
"HELZ",0.173945567847353,9.88007717218118e-194,1.88716581957849e-192
"CASP8",0.173874950784649,1.42151427723911e-193,2.70546265668089e-192
"FAM53B",0.173236547971655,3.78406077819889e-192,7.17620097579861e-191
"PHACTR2",0.172711803356341,5.5624851412503e-191,1.05113153380922e-189
"CYLD",0.172699724105364,5.91691549448435e-191,1.1141425984295e-189
"IFI44",0.172478111415179,1.83618622110198e-190,3.44528227351643e-189
"PDE4D",0.172200586172474,7.56625150219329e-190,1.41467589706501e-188
"HECA",0.172059216979262,1.55501855121459e-189,2.8972450901577e-188
"PIK3R1",0.171971390215967,2.43199219676728e-189,4.51534215553646e-188
"RNF149",0.171628801339066,1.38862588497397e-188,2.56027897542075e-187
"CYTH1",0.171121668339516,1.81836223179128e-187,3.32948394855576e-186
"LMNA",0.170993617015651,3.4769176655413e-187,6.34447862681248e-186
"MT-ND4",0.170986744514771,3.59995381872703e-187,6.54649136213716e-186
"RESF1",0.17055221129787,3.23513807031625e-186,5.86299766326939e-185
"SPN",0.170542465688045,3.39821164291958e-186,6.13758633466087e-185
"LYZ",0.169937486915479,7.15387306685939e-185,1.27902579074153e-183
"AHR",0.169904078935328,8.46195681015111e-185,1.50781847858733e-183
"ITGAL",0.169678558009233,2.62655321626379e-184,4.66454768507048e-183
"CORO7",0.169622926461734,3.47236852536492e-184,6.12567337863379e-183
"DIAPH1",0.169603151629549,3.83452533630483e-184,6.74216209793994e-183
"AKAP13",0.169502207500458,6.36162389152721e-184,1.11153122516666e-182
"WNK1",0.168609238505212,5.52627955574427e-182,9.55848353127103e-181
"FOSL2",0.168562123709016,6.98925264660838e-182,1.20496531017826e-180
"MBNL1",0.16845342041334,1.20128348108289e-181,2.06434151603565e-180
"LINC00342",0.168371250987358,1.80858664966565e-181,3.09793390636278e-180
"IDS",0.168349342116194,2.01698396002785e-181,3.4327515473551e-180
"TAPBP",0.167490288187884,1.43448823867363e-179,2.41813731662126e-178
"GATA3",0.167198138442375,6.08486167101112e-179,1.01605709034808e-177
"ANKRD11",0.166833691426937,3.67690758358425e-178,6.12049506859949e-177
"ARAP2",0.166600905480607,1.15756072817268e-177,1.92082733331154e-176
"KMT2C",0.165482460922789,2.79451904088501e-175,4.62270906763221e-174
"RAPGEF1",0.165300551746857,6.79597454107299e-175,1.12070263394713e-173
"STAT5B",0.164956986946511,3.63036674581147e-174,5.96818805580771e-173
"ATF7IP",0.164727539977401,1.10930251995475e-173,1.81242965567991e-172
"GBP5",0.164526446990099,2.94861738598596e-173,4.80280930048634e-172
"SLC4A7",0.163717009517047,1.48958318936409e-171,2.41148985839125e-170
"SAMHD1",0.163294829841039,1.14294538755774e-170,1.83910303270654e-169
"SORL1",0.163014165909953,4.41585272188875e-170,7.08404167771276e-169
"AUTS2",0.162950028888952,6.01178704132694e-170,9.61523770766448e-169
"PPP1R9B",0.162936476750794,6.41664979051575e-170,1.02319550713629e-168
"TYMP",0.162912893918046,7.18715660190009e-170,1.14262878910448e-168
"NPDC1",0.162852395771028,9.61308976413511e-170,1.52374646709127e-168
"SRRM2",0.16167196969309,2.73806549473993e-167,4.28882825282272e-166
"NBEAL2",0.160940029148717,8.91284934964669e-166,1.3838371358662e-164
"S100A6",0.160769298330977,2.00354351939684e-165,3.10169565247732e-164
"VPS13C",0.160666589184788,3.26014445781034e-165,5.03237414853864e-164
"HNRNPU",0.16061498122765,4.16316787883253e-165,6.4076583874205e-164
"RAB11FIP1",0.160416819266119,1.0637106362211e-164,1.63245765269771e-163
"GLIPR1",0.160369908191974,1.32797617452595e-164,2.03214797888553e-163
"S100A8",0.16000574011381,7.41777595399219e-164,1.12860717236959e-162
"LPGAT1",0.15968615354536,3.34526201826205e-163,5.07524037627757e-162
"SH3BGRL3",0.159380205547094,1.4105351476345e-162,2.12782432782363e-161
"DOCK8",0.158893147559224,1.38577517695474e-161,2.08455132850699e-160
"IRF2BP2",0.158424443344872,1.24051061909672e-160,1.86076592864508e-159
"DUSP16",0.158033561138887,7.67717764664005e-160,1.14833276911715e-158
"OSBPL3",0.157852845233397,1.78027912064742e-159,2.65541632883085e-158
"EZR",0.157453928848836,1.13573986360775e-158,1.68457504909418e-157
"CD44",0.157305459871059,2.26079648577971e-158,3.34396360431484e-157
"PER1",0.157106486762124,5.68177943343973e-158,8.38062466432361e-157
"LGALS3",0.156950130480713,1.17115282401344e-157,1.72266523421368e-156
"TGFB1",0.156856423712295,1.80600549828727e-157,2.64914066185232e-156
"PBXIP1",0.156826627620088,2.07255762885595e-157,3.03175785378101e-156
"NPIPB5",0.156692212854147,3.85540094328551e-157,5.62422500243024e-156
